"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"아파트","부산",동부산권,기장,소계,71.37077115,71.47654202,71.70676659,71.82881797,71.95491923,72.07627113
"아파트","경기",경의권,소계,소계,71.3658036,71.53570687,71.7117692,71.93824491,72.34026821,72.72799589
"아파트","경기",경의권,고양,소계,71.20019708,71.28635825,71.37811017,71.50706846,71.76378833,72.08917558
"아파트","인천",계양,소계,소계,71.19239237,71.19599345,71.24418299,71.4369561,71.8579894,72.02420027
"아파트","경기",경의권,고양,일산동,71.0936541,71.05824828,71.08662338,71.24324784,71.53264685,72.01559368
"아파트","경북",영천,소계,소계,71.08712393,71.09224388,71.00943867,70.83830121,70.73562021,70.56005836
"아파트","경기",경원권,의정부,소계,71.08406112,71.09983503,71.36121665,71.52934198,71.63639279,71.90225035
"아파트","인천",남동,소계,소계,71.03857286,71.1093747,71.32828367,71.51474169,71.72559828,71.93067397
"아파트","대전",서,소계,소계,70.9254103,70.9643365,71.03314754,71.05709688,71.06314593,71.06280884
"아파트","대구",동,소계,소계,70.92508501,71.25505267,71.20510583,71.30015146,71.48902869,71.52044558
"아파트","울산",남,소계,소계,70.87805999,70.7576821,70.79501568,70.64366181,70.71028203,70.65276767
"아파트","5대광역시",소계,소계,소계,70.81648194,70.93622543,71.08345253,71.19706515,71.42471604,71.6094155
"종합","울산",소계,소계,소계,70.79848989,70.75105548,70.82142004,71.02730667,71.11349812,71.18608476
"아파트","대전",소계,소계,소계,70.78696575,70.92462359,71.12490879,71.20482798,71.34936532,71.4869458
"아파트","경기",경의권,고양,덕양,70.74636246,70.69334377,70.76029952,70.84592771,71.03601955,71.27462362
"아파트","전북",남원,소계,소계,70.72281044,70.09399645,69.79595024,69.39235389,69.23363516,68.94697507
"연립다세대","경기",동부1권,소계,소계,70.71408556,70.70270409,70.84701916,70.64908669,70.59243775,70.54188939
"아파트","인천",부평,소계,소계,70.70171303,70.69949357,70.7149705,70.68599683,70.7280835,70.83007473
"아파트","전북",김제,소계,소계,70.52299725,70.60200339,70.67129106,70.81219392,70.87501798,70.88731173
"아파트","대전",중,소계,소계,70.45555268,70.5564056,70.71988852,70.8557888,71.14238413,71.44718597
"아파트","부산",중부산권,영도,소계,70.43212572,70.84147188,71.34637065,71.90836503,72.69034192,73.13864832
"아파트","6대광역시",소계,소계,소계,70.19095837,70.31353729,70.46011563,70.55701159,70.78305915,70.97957097
"아파트","경기",경의권,김포,소계,70.0861877,70.41471835,70.69149114,70.94286615,71.59403342,72.16754345
"아파트","부산",중부산권,동,소계,69.81110305,69.9800072,70.08641618,70.16995009,70.64354249,70.90161828
"아파트","대구",소계,소계,소계,69.78273742,69.92899568,70.08202792,70.1075671,70.33636558,70.47381414
"연립다세대","전남",소계,소계,소계,69.75845295,69.81996612,69.83866579,69.84582493,69.87257504,69.89747529
"종합","경기",경의권,소계,소계,69.75759301,69.89132843,70.0423365,70.28334958,70.61793024,70.94963463
"종합","부산",서부산권,소계,소계,69.75148514,69.94954373,70.13927527,70.63418441,70.83780766,70.96101328
"아파트","대전",유성,소계,소계,69.72580171,69.98662074,70.38032776,70.4714968,70.59673309,70.70896797
"아파트","대구",남,소계,소계,69.50647481,69.54256553,69.5926508,69.62971263,69.82923497,69.92941529
"아파트","강원",삼척,소계,소계,69.4616826,69.31554039,69.07092283,69.19814731,68.99943579,68.61784502
"아파트","전북",정읍,소계,소계,69.44000756,70.35371538,70.10895432,70.13256832,70.46962767,70.76701514
"연립다세대","경기",경부2권,소계,소계,69.43140805,69.47851108,69.55327793,69.5043937,69.46049187,69.49027616
"연립다세대","서울",강북권역,동북권,소계,69.30643923,69.08289163,68.92862522,68.636739,68.44807866,68.37487766
"연립다세대","경기",소계,소계,소계,69.21066235,69.27237085,69.31969173,69.32404496,69.35733428,69.42489294
"아파트","충남",홍성,소계,소계,69.15917873,69.27505532,69.35801745,69.46457464,69.50094881,69.49414133
"연립다세대","강원",소계,소계,소계,69.02387202,69.07790185,69.11019619,69.13867198,69.18887395,69.16284499
